※ 안내: 이 결과는 검색량/경쟁정도/계절성만 본 '키워드 후보'입니다. 크무비(부피 200cm·무게 20kg·가격 20만~100만원) 조건은 아직 검증되지 않았습니다. 실제 상품을 찾아 products_template.csv에 입력한 뒤 main.py로 검증하세요. '_추정' 표시 컬럼은 키워드 글자만 보고 규칙으로 추정한 값이며, 실제 치수·판매 데이터가 아닙니다.
키워드,원본시드키워드,월간검색량,PC검색량,모바일검색량,경쟁정도,목표월들,계절성_변동계수,계절성_최고월,계절성_최저월,계절성조회상태,8월_계절지수_추정,8월_예상검색량_추정,9월_계절지수_추정,9월_예상검색량_추정,10월_계절지수_추정,10월_예상검색량_추정,계절성최적월_추정,계절성최적월지수_추정,검색량점수,경쟁정도점수,계절성점수,총점,카테고리관련성점수_추정,감지카테고리_추정,관련성판단근거_추정,정보성키워드여부_추정,정보성판단근거_추정,브랜드포함여부,매칭브랜드,소형저가가능성_추정,소형저가판단근거_추정,크무비가능성점수_추정,크무비가능성등급_추정,크무비판단근거_추정,실제크기무게확인필요,해외구매대행적합도점수_추정,제외검토사유,중국소싱가능성점수_추정,소싱가능성등급_추정,중국소싱판단근거_추정,중국사이트직접확인필요여부,위험요소_추정,종합위험도등급_추정,데이터신뢰도_추정,최종추천점수_종합,추천등급,추천근거
파라솔,파라솔,58200,12500,45700,중간,"8,9,10",0.64,6,1,조회 성공,1.74,101268,0.87,50634,0.61,35502,8,1.74,50,15.0,7.4,72.4,50,,시드키워드와 문자열이 겹침,아니오,,아니오,,아니오,,50,판단 자료 부족,크기/무게를 암시하는 단어가 없어 추정 불가,예,40.0,,50,판단 자료 부족,소싱 가능성을 암시하는 단어가 없어 추정 불가,예,,위험 낮음,높음(검색량·계절성 모두 실측),55.5,S,종합점수 55.5점
대형파라솔,파라솔,9850,2230,7620,중간,"8,9,10",0.52,6,12,조회 성공,1.29,12706,0.96,9456,0.68,6698,8,1.29,7.3,15.0,2.9,25.2,50,,시드키워드와 문자열이 겹침,아니오,,아니오,,아니오,,65,크무비 가능성 중간,대형/산업·야외용 연상단어 포함: 대형,예,46.0,,50,판단 자료 부족,소싱 가능성을 암시하는 단어가 없어 추정 불가,예,,위험 낮음,높음(검색량·계절성 모두 실측),38.7,A,종합점수 38.7점
그늘막,파라솔,27350,6150,21200,중간,"8,9,10",0.73,6,12,조회 성공,1.63,44580,0.76,20786,0.52,14222,8,1.63,25.9,15.0,6.3,47.2,0,,시드키워드와의 연관성을 찾지 못함 (사전에 없는 단어일 수 있음),아니오,,아니오,,아니오,,50,판단 자료 부족,크기/무게를 암시하는 단어가 없어 추정 불가,예,20.0,시드키워드와 관련성 낮음 (추정 0점),50,판단 자료 부족,소싱 가능성을 암시하는 단어가 없어 추정 불가,예,,위험 낮음,높음(검색량·계절성 모두 실측),38.4,A,종합점수 38.4점
캠핑파라솔,파라솔,3110,550,2560,중간,"8,9,10",0.69,8,12,조회 성공,1.86,5785,1.05,3266,0.72,2239,8,1.86,0.1,15.0,8.6,23.7,50,,시드키워드와 문자열이 겹침,아니오,,아니오,,아니오,,65,크무비 가능성 중간,대형/산업·야외용 연상단어 포함: 캠핑,예,46.0,,50,판단 자료 부족,소싱 가능성을 암시하는 단어가 없어 추정 불가,예,,위험 낮음,높음(검색량·계절성 모두 실측),38.1,A,종합점수 38.1점
햇빛가리개,파라솔,24810,4010,20800,중간,"8,9,10",0.59,6,12,조회 성공,1.58,39200,0.72,17863,0.49,12157,8,1.58,23.2,15.0,5.8,44.0,0,,시드키워드와의 연관성을 찾지 못함 (사전에 없는 단어일 수 있음),아니오,,아니오,,아니오,,50,판단 자료 부족,크기/무게를 암시하는 단어가 없어 추정 불가,예,20.0,시드키워드와 관련성 낮음 (추정 0점),50,판단 자료 부족,소싱 가능성을 암시하는 단어가 없어 추정 불가,예,,위험 낮음,높음(검색량·계절성 모두 실측),37.1,B,종합점수 37.1점
무더위쉼터,파라솔,10850,1990,8860,중간,"8,9,10",1.29,8,2,조회 성공,3.39,36782,0.4,4340,0.16,1736,8,3.39,8.4,15.0,20,43.4,0,,시드키워드와의 연관성을 찾지 못함 (사전에 없는 단어일 수 있음),아니오,,아니오,,아니오,,50,판단 자료 부족,크기/무게를 암시하는 단어가 없어 추정 불가,예,20.0,시드키워드와 관련성 낮음 (추정 0점),50,판단 자료 부족,소싱 가능성을 암시하는 단어가 없어 추정 불가,예,,위험 낮음,높음(검색량·계절성 모두 실측),36.9,B,종합점수 36.9점
이케아파라솔,파라솔,3030,410,2620,중간,"8,9,10",0.8,6,12,조회 성공,2.01,6090,0.78,2363,0.46,1394,8,2.01,0.0,15.0,10.1,25.1,50,,시드키워드와 문자열이 겹침,아니오,,아니오,,아니오,,50,판단 자료 부족,크기/무게를 암시하는 단어가 없어 추정 불가,예,40.0,,50,판단 자료 부족,소싱 가능성을 암시하는 단어가 없어 추정 불가,예,,위험 낮음,높음(검색량·계절성 모두 실측),36.5,B,종합점수 36.5점
비치파라솔,파라솔,3460,620,2840,높음,"8,9,10",0.98,7,12,조회 성공,2.41,8339,0.79,2733,0.34,1176,8,2.41,0.5,0.0,14.1,14.6,50,,시드키워드와 문자열이 겹침,아니오,,아니오,,아니오,,50,판단 자료 부족,크기/무게를 암시하는 단어가 없어 추정 불가,예,40.0,,50,판단 자료 부족,소싱 가능성을 암시하는 단어가 없어 추정 불가,예,,위험 낮음,높음(검색량·계절성 모두 실측),32.3,B,종합점수 32.3점
낚시파라솔,파라솔,6370,960,5410,높음,"8,9,10",0.57,5,12,조회 성공,1.58,10065,1.19,7580,0.79,5032,8,1.58,3.6,0.0,5.8,9.4,50,,시드키워드와 문자열이 겹침,아니오,,아니오,,아니오,,50,판단 자료 부족,크기/무게를 암시하는 단어가 없어 추정 불가,예,40.0,,50,판단 자료 부족,소싱 가능성을 암시하는 단어가 없어 추정 불가,예,,위험 낮음,높음(검색량·계절성 모두 실측),30.3,B,종합점수 30.3점
다이와구명조끼,파라솔,4300,650,3650,중간,"8,9,10",0.46,9,2,조회 성공,1.46,6278,2.06,8858,1.64,7052,9,2.06,1.4,15.0,10.6,27.0,0,,시드키워드와의 연관성을 찾지 못함 (사전에 없는 단어일 수 있음),아니오,,아니오,,아니오,,50,판단 자료 부족,크기/무게를 암시하는 단어가 없어 추정 불가,예,20.0,시드키워드와 관련성 낮음 (추정 0점),50,판단 자료 부족,소싱 가능성을 암시하는 단어가 없어 추정 불가,예,,위험 낮음,높음(검색량·계절성 모두 실측),30.3,B,종합점수 30.3점
파라솔받침대,파라솔,3830,740,3090,높음,"8,9,10",0.66,6,1,조회 성공,1.77,6779,0.97,3715,0.64,2451,8,1.77,0.9,0.0,7.7,8.6,50,,시드키워드와 문자열이 겹침,아니오,,아니오,,아니오,,50,판단 자료 부족,크기/무게를 암시하는 단어가 없어 추정 불가,예,40.0,,50,판단 자료 부족,소싱 가능성을 암시하는 단어가 없어 추정 불가,예,,위험 낮음,높음(검색량·계절성 모두 실측),29.9,B,종합점수 29.9점
그늘막타프,파라솔,3000,550,2450,중간,"8,9,10",0.79,7,12,조회 성공,2.11,6330,0.92,2760,0.61,1830,8,2.11,0,15.0,11.1,26.1,0,,시드키워드와의 연관성을 찾지 못함 (사전에 없는 단어일 수 있음),아니오,,아니오,,아니오,,50,판단 자료 부족,크기/무게를 암시하는 단어가 없어 추정 불가,예,20.0,시드키워드와 관련성 낮음 (추정 0점),50,판단 자료 부족,소싱 가능성을 암시하는 단어가 없어 추정 불가,예,,위험 낮음,높음(검색량·계절성 모두 실측),29.9,B,종합점수 29.9점
